driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,668,DADA EXPRESS INC II,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,670,AQUARIUS CAB INC.,2009,FORD,ESCAPE HYBRID N ,,,
Y,,679,CHELSEA CAB CO,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,691,MARIA INC.,2011,FORD,ESCAPE HYBRID N ,,,
Y,,708,REX 1 INC.,2009,FORD,ESCAPE HYBRID N ,,,
Y,,710,FLORINA INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,721,SAGGITARIUS 1 INC.,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,723,MARIA INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,740,REX 3 INC.,2009,FORD,ESCAPE HYBRID N ,,,
Y,,743,DAATA CAB CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,776,SEVEN DAY CAB CO,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,810,BHAIJAN INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,871,REX 3 INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,873,DEMIRCI O & E INC.,2014,FORD,FUSION HYBRID N ,,,
Y,,908,REX 3 INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,954,CALL INC,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,1019,REX 2 INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,1026,BRANDON INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,1030,SCORPIO INC.,2013,FORD,ESCAPE GASOLINE N ,,,
Y,,1040,BRANDON INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,1159,SPACE SHUTTLE ENTERPRISE INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,1180,MAB CAB CO,2011,TOYOTA,PRIUS GASOLINE N ,,,
Y,,1196,KOUFRANGEH INC,2013,TOYOTA,RAV4,,,
Y,,1197,INARA ENTERPRISE INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,1232,GREATER CHICAGO EXPRESS INC,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,1235,CAB USA INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,1259,SAGGITARIUS 1 INC.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,1286,CHICAGO TAXI INC,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,1306,JAMIN CAB CORP,2011,FORD,ESCAPE HYBRID N ,,,
Y,,1316,JAZZ CAB CO,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,1334,CORNELL INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,1343,AQUARIUS CAB INC.,2011,FORD,ESCAPE CNG N ,,,
Y,,1364,"REX 6, INC.",2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,1380,LUIS FLORES INC.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,1401,MILLENIUM CAB CORP,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,1402,YOU CAB CO.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1428,WHITEBOY INC,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,1442,AQUARIUS CAB INC.,2013,FORD,ESCAPE HYBRID N ,,,
Y,,1457,CHAND CAB CO,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,1484,AQUARIUS CAB INC.,2009,FORD,ESCAPE HYBRID N ,,,
Y,,1514,REX 2 INC.,2010,FORD,ESCAPE HYBRID N ,,,
Y,,1520,MY CHICAGO TAXI INC,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1522,RABIA CAB CO.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,1570,AQUARIUS CAB INC.,2013,FORD,ESCAPE GASOLINE N ,,,
Y,,1621,AQUARIUS CAB INC.,2010,FORD,ESCAPE HYBRID N ,,,
Y,,1631,AQUARIUS CAB INC.,2010,FORD,ESCAPE HYBRID N ,,,
Y,,1647,ENTERPRISES INC,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1649,SABAAH EXPRESS INC.,2011,FORD,ESCAPE HYBRID N ,,,
Y,,1659,CASA BLANCA EXPRESS INC,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,1665,AQUARIUS CAB INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,1682,CASA BLANCA EXPRESS INC,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,1704,QUICKWAY TAXI INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1748,"A.M. EBENEZER, INC",2012,TOYOTA,SIENNA GASOLINE N ,,,
Y,,1759,1759 INC.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,1765,EDNER CALYPSO,2011,TOYOTA,RAV4,,,
Y,,1778,SEVEN DAY CAB CO,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,1783,F & Z INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
