driverType,driverVIN,driverMedallion,driverName,driverCabYear,driverCabMake,driverCabModel,driverDMVLicense,driverCompany,driverCompanyPhone
Y,,70,SISW EXPRESS INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,189,AMDE CORP,2012,TOYOTA,SIENNA GASOLINE N ,,,
Y,,249,ADI EXPRESS INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,448,TAXI CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,455,"GGA EXPRESS, INC.",2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,645,THREE DAUGHTERS CAB CO,2009,FORD,ESCAPE HYBRID N ,,,
Y,,818,GEBRAILE CORP,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1102,MBG CAB CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1271,MELAKE TESFAMICHAEL,2014,TOYOTA,RAV4,,,
Y,,1305,BALL CHICAGO INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1450,TSIGE CAB CORP 3,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1512,RAHEL EXPRESS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1541,GG TT INC,2013,TOYOTA,PRIUS GASOLINE N ,,,
Y,,1857,AKI EXPRESS INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2010,KALIB INC,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2085,BAA CAB CO.,2013,TOYOTA,RAV4,,,
Y,,2138,AAROW TRANSPORTATION,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2421,SINGH USA INC.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,2883,SAMSON K CAB CO,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2886,SOL CAB CO,2011,CHEVROLET,HHR GASOLINE N ,,,
Y,,2982,SNY CAB INC,2013,TOYOTA,RAV4,,,
Y,,3073,MEKLETEELSA INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,3350,MENEN CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,3512,WUBET INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,3622,YRW CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,3760,GG TT INC,2011,CHEVROLET,HHR GASOLINE N ,,,
Y,,4316,AIC EXPRESS INC.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,4553,AAA EXPRESS TRANS CO.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5054,YESHEMEBET CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5245,TSION CAB CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,5247,GEBAR EXPRESS INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5399,MIDWEST RIDE INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5463,MARY TRANS INC.,2012,TOYOTA,SIENNA GASOLINE N ,,,
Y,,5703,CAMBRI HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5738,CHICAGO TAXI EXPRESS INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5758,C P TAXI CORPORATION,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5792,SAWA CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5803,TAYE EXPRESS INC,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5900,SOLZEW CO,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5917,ERENA CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5918,SEGEN CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5928,SENAIT AND YOSEIF,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,5929,CHOICE EXPRESS CORP,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,5944,FAST TRACK TAXI INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6053,SILUR HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6127,SILUR HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6139,DABRY CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6172,MARSOL TAXI CO.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6176,VOYAGER CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6198,DAHLAK CORP,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,6199,NEEYAT CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6228,ABM CAB CO,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6232,VOYAGER CORP,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6244,SEWIT CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6510,FAVEN CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6606,YW CAB CORPORATION,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6618,MN TAXI INC.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6708,CARBO HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6709,CARBO HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6710,PERM HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,6711,PERM HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6744,TEDOM INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,6799,HELEN HABTE CORP.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,6864,CAMBRI HACKING CORP.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,6894,BBDR EXPRESS INC,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,713,JORCRA CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,797,JORCRA CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,1497,MIL'S ENTERPRIESES INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2432,JORCRA CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,2893,BEDFORD CAB TWO CORP SURRENDER,2012,VPG,MV-1 CNG Y ,,,
Y,,2913,WILLIAM ESHUN SURRENDER,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,2914,JORCRA CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,2976,BELL CAB CO,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,3459,JORCRA CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,3626,BEDFORD CAB TWO CORP VIOLATION,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,3835,FIRST KARACHI INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,3947,"DIKBAS TRANS, INC.",2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,4285,CYPRUS CAB CO,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,4871,WILLIAM ESHUN SURRENDER,2009,TOYOTA,CAMRY GASOLINE N ,,,
Y,,5555,Z W CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5601,S A S TAXI SERVICES INC,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5614,Z W CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6037,Z W CAB CORP,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,6389,Z W CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6403,DEVON HACKING CORP. SURRENDER,2009,TOYOTA,PRIUS GASOLINE N ,,,
Y,,6456,Z W CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6514,CARZAAR CO.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6707,DEVON HACKING CORP. SURRENDER,2009,TOYOTA,PRIUS HYBRID N ,,,
Y,,6712,MESO HACKING CORP. VIOLATION,2010,FORD,ESCAPE GASOLINE N ,,,
Y,,6713,MESO HACKING CORP. SURRENDER,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,6714,TRIA HACKING CORP. SURRENDER,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,6715,TRIA HACKING CORP. SURRENDER ,2012,VPG,MV-1 CNG Y ,,,
Y,,6716,JURA HACKING CORP. SURRENDER,2010,FORD,ESCAPE GASOLINE N ,,,
Y,,6717,JURA HACKING CORP. SURRENDER,2010,TOYOTA,PRIUS GASOLINE N ,,,
Y,,6724,CRETA HACKING CORP. SURRENDER,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,6725,CRETA HACKING CORP. SURRENDER,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,6783,BEST CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6784,BEST CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6785,BEST CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6786,BEST CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6787,BEST CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6788,KING CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,6789,KING CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6790,KING CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6791,KING CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,6792,KING CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,3567,FW CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,3673,FW CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,3705,FW CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,4351,FW CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,4486,FW CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,4630,SFT CAB CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,5019,SFT CAB CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5076,SFT CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5103,SFT CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5169,SFT CAB CORP,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,140,MANHATTAN HACKING CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,217,MANHATTAN HACKING CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,234,ALBORZ INC,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,262,BROTHERS CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,316,MANHATTAN HACKING CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,321,MANHATTAN HACKING CORP.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,340,MANHATTAN HACKING CORP.,2012,HYUNDAI,SONATA GASOLINE N ,,,
Y,,404,MEDALLION FUNDING CHICAGO CORP IV,2011,CHEVROLET,IMPALA CNG N ,,,
Y,,433,MCCAB XVII CORP.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,462,MICHAEL TWO CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,467,MCCAB XVII CORP.,2009,FORD,ESCAPE HYBRID N ,,,
Y,,543,CHICAGO JACAL HACKING II CORP,2014,FORD,FUSION HYBRID N ,,,
Y,,609,NEW LIGHT CAB CO.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,652,BRONX HACKING CORP.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,676,B & K OCEAN PARKWAY HOLDING CORP.,2012,TOYOTA,PRIUS GASOLINE N ,,,
Y,,702,BRONX HACKING CORP.,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,733,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,739,MEDALLION FUNDING CHICAGO CORP IV,2010,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,767,MEDALLION FUNDING CHICAGO CORP IV,2011,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,798,MIRIM'S HACKING CORP.,2014,FORD,FUSION HYBRID N ,,,
Y,,803,CHICAGO JACAL HACKING II CORP,2014,FORD,FUSION HYBRID N ,,,
Y,,806,MEDALLION FUNDING CHICAGO CORP IV,2010,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,824,B & K OCEAN PARKWAY HOLDING CORP.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,833,MEDALLION FUNDING CHICAGO CORP IV,2010,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,849,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,855,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,857,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,868,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,888,MEDALLION FUNDING CHICAGO CORP IV,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,890,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,891,MEDALLION FUNDING CHICAGO CORP III,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,921,MEDALLION FUNDING CHICAGO CORP IV,2010,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,927,MEDALLION FUNDING CHICAGO CORP IV,2011,FORD,ESCAPE CNG N ,,,
Y,,941,BMC CAB CORP. SURRENDER,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,972,BEDFORD CAB CORP VIOLATION,2009,FORD,ESCAPE HYBRID N ,,,
Y,,1083,RAMBO CAB CO,2010,FORD,CROWN VICTORIA FLEX_FUEL N ,,,
Y,,1124,OMNIA CAB CO,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,1152,NIMA RIDE INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1172,STYLE III TAXI SERVICE,2011,TOYOTA,SIENNA GASOLINE N ,,,
Y,,1204,J T CAB CO,2011,TOYOTA,CAMRY HYBRID N ,,,
Y,,1245,MICHAEL TWO CAB CORP,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,1248,BIG APPLE CAB ONE CO. SURRENDER,2011,FORD,ESCAPE CNG N ,,,
Y,,1298,FLAG CAB CORP. SURRENDER,2009,TOYOTA,CAMRY HYBRID N ,,,
Y,,1303,M J P CAB CORP,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1342,MANHATTAN HACKING CORP.,2011,HYUNDAI,SONATA GASOLINE N ,,,
Y,,1345,CORPORAL CAB CO,2010,MERCURY,GRAND MARQUIS FLEX_FUEL N ,,,
Y,,1366,A & S CAB CO INC,2010,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,1397,NIMA RIDE INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1420,B AND K GIRLS HACKING CORP.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1463,NIMA RIDE INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,1487,MICHAEL TWO CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,1495,"FUNRIDE, INC.",2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,1545,MARCO CAB CO,2010,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,1556,ROCKY MOUNTAIN CAB CO,2011,FORD,ESCAPE HYBRID N ,,,
Y,,1558,FLAG CAB CORP. SURRENDER,2009,TOYOTA,PRIUS GASOLINE N ,,,
Y,,1596,CHEVRON TAXI INC,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1606,SCHATZI CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,1661,MIKHALIA CABS NINE INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,1767,"MARGA ZORA, CORP.",2011,TOYOTA,PRIUS GASOLINE N ,,,
Y,,1797,MIRIM'S HACKING CORP.,2014,FORD,FUSION HYBRID N ,,,
Y,,1828,AOA TRANS INC,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,1830,AOA TRANS INC,2011,TOYOTA,XB GASOLINE N ,,,
Y,,1848,BEDFORD CAB CORP SURRENDER,2011,FORD,ESCAPE CNG N ,,,
Y,,1854,MANHATTAN HACKING CORP.,2012,VPG,MV-1 CNG Y ,,,
Y,,1895,AOA TRANS INC,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,1904,AOA TRANS INC,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1918,SOKL CAB CO,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,1926,NICOLAE TOMA,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1950,NIMA RIDE INC.,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,1982,STATEN ISLAND HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,1994,ZAY TAXI CORP,2013,NISSAN,ALTIMA HYBRID N ,,,
Y,,2066,SONA TAXICAB INC,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,2079,SOUTH VIRGINIA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2101,KAYLA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2110,CHICAGO JACAL HACKING CORP,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,2170,FLAG CAB CORP. SURRENDER,2010,FORD,ESCAPE GASOLINE N ,,,
Y,,2200,STENO CAB CO VIOLATION,2011,TOYOTA    ,XB GASOLINE N ,,,
Y,,2212,SOKL CAB CO,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,2250,MEMON EXPRESS INC.,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,2290,DIKCIS CAB COMPANY,2011,FORD,ESCAPE GASOLINE N ,,,
Y,,2379,OMEGA TAXI,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2410,NAT MIKE CABS TWO INC.,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2454,SOUTH VIRGINIA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2478,SMC CAB CORP. SURRENDER,2011,FORD,ESCAPE CNG N ,,,
Y,,2479,"ABRON CAB COMPANY, INC.",2012,TOYOTA,XB GASOLINE N ,,,
Y,,2480,"ABRON CAB COMPANY, INC.",2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2481,"ABRON CAB COMPANY, INC.",2012,TOYOTA,XB GASOLINE N ,,,
Y,,2483,"ABRON CAB COMPANY, INC.",2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2484,"ABRON CAB COMPANY, INC.",2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2504,AUSTIN FAMILY TAXI CORP,2011,FORD,ESCAPE HYBRID N ,,,
Y,,2507,AUSTIN FAMILY TAXI CORP,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,2508,LIBERTY EXPRESS X INC. ,2010,FORD,ESCAPE CNG N ,,,
Y,,2509,AUSTIN FAMILY TAXI CORP,2011,FORD,ESCAPE HYBRID N ,,,
Y,,2510,R & R TRANS INC.,2013,TOYOTA,XB GASOLINE N ,,,
Y,,2512,R & R TRANS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2513,R & R TRANS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2514,FASS EXPRESS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2516,LUCKY 7 CAB CO INC,2010,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,2518,ARYA RIDE INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,2519,MARWILL CAB COMPANY,2010,FORD,CROWN VICTORIA FLEX_FUEL N ,,,
Y,,2522,ARYA RIDE INC.,2010,FORD,CROWN VICTORIA CNG N ,,,
Y,,2523,PARS RIDE INCORPORATED SURRENDER,2010,FORD,CROWN VICTORIA CNG N ,,,
Y,,2524,P T K CAB CO,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2529,PARS RIDE INCORPORATED,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2532,ALPHA TAXI CORP,2010,TOYOTA,CAMRY HYBRID N ,,,
Y,,2537,SPHAN RIDE INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2563,FASS EXPRESS INC.,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2569,SPHAN RIDE INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,2571,KEELER CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2576,ARYA RIDE INC.,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2581,CY'S INC. I I,2012,FORD,TRANSIT CONNECT CNG N ,,,
Y,,2584,MELLOTONE CAB LTD,2014,NISSAN,PATHFINDER HYBRID N ,,,
Y,,2591,A & S CAB CO INC,2012,FORD,FUSION GASOLINE N ,,,
Y,,2592,WIL-MAR CAB CO,2010,FORD,CROWN VICTORIA FLEX_FUEL N ,,,
Y,,2596,MARCO CAB CO,2012,FORD,FUSION GASOLINE N ,,,
Y,,2598,CY'S INC. I I,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,2602,MARWILL CAB COMPANY,2010,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,2616,CORPORAL CAB CO,2012,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,2619,WIL-MAR CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2623,CORPORAL CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2624,MEMON CHICAGO INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2632,NAT MIKE CABS TWO INC.,2011,TOYOTA,XB GASOLINE N ,,,
Y,,2646,LUCKY 7 CAB CO INC,2011,FORD,CROWN VICTORIA GASOLINE N ,,,
Y,,2649,PARS RIDE INCORPORATED,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2652,SPHINX CAB CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2657,KEELER CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2672,CY'S INC. I I,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,2676,MEMON CHICAGO INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2678,CY'S INC. I I,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2679,MEMON EXPRESS INC.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2685,Z & M RIDE INC,2012,TOYOTA,XB GASOLINE N ,,,
Y,,2687,LUCKY 7 CAB CO INC,2011,FORD,ESCAPE GASOLINE N ,,,
Y,,2688,LUCKY 7 CAB CO INC,2011,FORD,ESCAPE GASOLINE N ,,,
Y,,2689,LUCKY 7 CAB CO INC,2011,FORD,ESCAPE HYBRID N ,,,
Y,,2690,LUCKY 7 CAB CO INC,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2691,LUCKY 7 CAB CO INC,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,2693,JEROME CAB CO,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,2695,PARS RIDE INCORPORATED,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2700,MCCAB XIII CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,2701,PARS RIDE INCORPORATED SURRENDER,2010,FORD,CROWN VICTORIA CNG N ,,,
Y,,2702,PARS RIDE INCORPORATED,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2703,AUSTIN KS TAXI CORP,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2704,AUSTIN KS TAXI CORP,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,2705,AUSTIN KS TAXI CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2706,ARYA RIDE INC.,2011,TOYOTA,PRIUS HYBRID N ,,,
Y,,2707,ARYA RIDE INC.,2010,FORD,CROWN VICTORIA CNG N ,,,
Y,,2708,ARYA RIDE INC.,2013,FORD,ESCAPE GASOLINE N ,,,
Y,,2709,SPHAN RIDE INC.,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2710,AUSTIN KS TAXI CORP,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,2711,SPHAN RIDE INC.,2014,DODGE,CARAVAN GASOLINE N ,,,
Y,,2721,WIL-MAR CAB CO,2011,FORD,ESCAPE GASOLINE N ,,,
Y,,2772,BROTHERS EMPIRE CORP.,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2847,B & K OCEAN PARKWAY HOLDING CORP.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,2889,BROTHERS CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,2904,Z & M RIDE INC,2013,TOYOTA,PRIUS HYBRID N ,,,
Y,,2938,SMC CAB CORP. VIOLATION,2009,TOYOTA,CAMRY GASOLINE N ,,,
Y,,3036,LUCKY 7 CAB CO INC,2010,FORD,ESCAPE FLEX_FUEL N ,,,
Y,,3233,KAYLA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,3236,"R & A CITY, INC.",2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,3246,MCCAB XIII CORP.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,3261,MIKHALIA CABS NINE INC,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,3271,ARES TAXI INC,2014,FORD,ESCAPE GASOLINE N ,,,
Y,,3373,KAYLA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,3405,NOBLE CAB CO,2010,FORD,ESCAPE FLEX_FUEL N Wheelchair Access  ,,,
Y,,5429,ESMERALDA CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,5450,STEPHEN OMOFONMWAN,2010,FORD,ESCAPE HYBRID N ,,,
Y,,5491,WESTERN GREEN CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,5519,WOLFGANG'S CAB COMPANY,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,5550,HARRIS & HIRRAH INC,2012,FORD,FUSION HYBRID N ,,,
Y,,5558,ZEBA CAB CO,2014,TOYOTA,CAMRY HYBRID N ,,,
Y,,5569,N.S.S. CAB CORPORATION,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5571,ALLEN BALDWIN,2011,TOYOTA,XB GASOLINE N ,,,
Y,,5577,STATEN ISLAND HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5590,STATEN ISLAND HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5597,AMODI CAB CORPORATION,2012,TOYOTA,CAMRY HYBRID N ,,,
Y,,5600,SOUTH VIRGINIA HACKING CORP.,2014,TOYOTA,PRIUS HYBRID N ,,,
Y,,5606,LUZURIAGA CORP,2013,TOYOTA,CAMRY HYBRID N ,,,
Y,,5683,B & K OCEAN PARKWAY HOLDING CORP.,2012,TOYOTA,PRIUS HYBRID N ,,,
Y,,5698,MUNDANA RIDE INC.,2011,NISSAN,ALTIMA HYBRID N ,,,
Y,,5713,BMC CAB CORP.,2010,TOYOTA,PRIUS HYBRID N ,,,
Y,,5732,COONS CAB CO,2012,FORD,FUSION GASOLINE N ,,,
Y,,5815,COREY CAB CO,2012,FORD,ESCAPE GASOLINE N ,,,
Y,,5842,CHICAGO JACAL HACKING CORP,2011,TOYOTA,CAMRY HYBRID N ,,,
